event_type,entity_id,entity_type,terminal,timestamp
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T20:18:17.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T2,2026-05-29T20:19:16.972953
CONTAINER_TRANSFER,CONT_976363,container,T1,2026-05-29T20:19:54.972953
CONTAINER_UNLOAD,CONT_980179,container,T3,2026-05-29T20:21:09.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T20:21:57.972953
CONTAINER_TRANSFER,CONT_759460,container,T2,2026-05-29T20:22:32.972953
CONTAINER_SCAN,CONT_769912,container,T2,2026-05-29T20:22:57.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T20:24:08.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T1,2026-05-29T20:25:09.972953
CONTAINER_SCAN,CONT_676631,container,T1,2026-05-29T20:26:11.972953
SHIP_DOCKED,EVER_GLOBE,ship,T1,2026-05-29T20:26:43.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T2,2026-05-29T20:27:25.972953
CONTAINER_SCAN,CONT_163698,container,T2,2026-05-29T20:28:01.972953
CONTAINER_LOAD,CONT_341621,container,T4,2026-05-29T20:29:42.972953
CONTAINER_SCAN,CONT_944460,container,T1,2026-05-29T20:29:56.972953
CONTAINER_TRANSFER,CONT_840477,container,T1,2026-05-29T20:30:16.972953
TRAIN_UNLOADING,MEDWAY_778,train,T4,2026-05-29T20:31:55.972953
SHIP_DOCKED,POSEIDON_X,ship,T4,2026-05-29T20:32:06.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T1,2026-05-29T20:32:17.972953
CONTAINER_TRANSFER,CONT_984925,container,T4,2026-05-29T20:34:16.972953
TRAIN_LOADING,TAKARGO_991,train,T4,2026-05-29T20:34:20.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T20:36:17.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T20:36:19.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T3,2026-05-29T20:37:19.972953
CONTAINER_TRANSFER,CONT_559738,container,T3,2026-05-29T20:38:53.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T20:40:10.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T3,2026-05-29T20:41:19.972953
CONTAINER_LOAD,CONT_424022,container,T4,2026-05-29T20:41:28.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T1,2026-05-29T20:41:48.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T1,2026-05-29T20:41:56.972953
TRAIN_ARRIVAL,CP_4401,train,T1,2026-05-29T20:42:18.972953
TRAIN_ARRIVAL,CP_4401,train,T3,2026-05-29T20:43:23.972953
TRAIN_UNLOADING,MEDWAY_778,train,T2,2026-05-29T20:43:26.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T20:44:10.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T2,2026-05-29T20:44:52.972953
TRAIN_UNLOADING,CP_4401,train,T2,2026-05-29T20:45:14.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T4,2026-05-29T20:45:20.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T20:45:36.972953
CONTAINER_TRANSFER,CONT_776658,container,T3,2026-05-29T20:45:48.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T20:46:02.972953
SHIP_DOCKED,EVER_GLOBE,ship,T2,2026-05-29T20:46:30.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T20:46:54.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T4,2026-05-29T20:47:08.972953
CONTAINER_LOAD,CONT_309338,container,T1,2026-05-29T20:47:24.972953
SHIP_ARRIVAL,MSC_ATLAS,ship,T1,2026-05-29T20:47:51.972953
CONTAINER_SCAN,CONT_887858,container,T3,2026-05-29T20:47:54.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T20:49:00.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T3,2026-05-29T20:50:28.972953
CONTAINER_UNLOAD,CONT_497868,container,T4,2026-05-29T20:51:09.972953
SHIP_UNDOCKED,MAERSK_NEXUS,ship,T3,2026-05-29T20:51:50.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T2,2026-05-29T20:52:19.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T20:52:20.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T3,2026-05-29T20:52:23.972953
SHIP_DOCKED,EVER_GLOBE,ship,T2,2026-05-29T20:52:34.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T20:52:39.972953
TRAIN_UNLOADING,MEDWAY_778,train,T2,2026-05-29T20:53:07.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T20:53:56.972953
TRAIN_UNLOADING,TAKARGO_991,train,T3,2026-05-29T20:54:05.972953
TRAIN_LOADING,CP_4401,train,T4,2026-05-29T20:54:46.972953
CONTAINER_UNLOAD,CONT_865566,container,T2,2026-05-29T20:54:48.972953
CONTAINER_TRANSFER,CONT_607792,container,T4,2026-05-29T20:56:30.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T1,2026-05-29T20:57:03.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T20:57:30.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T4,2026-05-29T20:59:04.972953
TRAIN_UNLOADING,CP_4401,train,T2,2026-05-29T21:00:13.972953
CONTAINER_SCAN,CONT_950963,container,T4,2026-05-29T21:00:19.972953
CONTAINER_LOAD,CONT_351894,container,T2,2026-05-29T21:01:57.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T1,2026-05-29T21:03:20.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T2,2026-05-29T21:03:51.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T21:04:53.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T1,2026-05-29T21:05:45.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T21:07:04.972953
CONTAINER_TRANSFER,CONT_650917,container,T1,2026-05-29T21:07:54.972953
TRAIN_ARRIVAL,CP_4401,train,T1,2026-05-29T21:07:57.972953
CONTAINER_SCAN,CONT_759442,container,T4,2026-05-29T21:10:35.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T4,2026-05-29T21:10:35.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T21:11:34.972953
TRAIN_UNLOADING,MEDWAY_778,train,T3,2026-05-29T21:12:22.972953
CONTAINER_TRANSFER,CONT_282886,container,T1,2026-05-29T21:12:40.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T1,2026-05-29T21:12:46.972953
CONTAINER_UNLOAD,CONT_602854,container,T4,2026-05-29T21:14:04.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T3,2026-05-29T21:14:20.972953
CONTAINER_UNLOAD,CONT_366066,container,T3,2026-05-29T21:14:28.972953
CONTAINER_TRANSFER,CONT_731743,container,T2,2026-05-29T21:14:34.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T21:15:03.972953
TRAIN_UNLOADING,CP_4401,train,T4,2026-05-29T21:15:21.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T21:15:50.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T3,2026-05-29T21:15:55.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T4,2026-05-29T21:16:16.972953
TRAIN_DEPARTURE,CP_4401,train,T3,2026-05-29T21:16:37.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T2,2026-05-29T21:17:02.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T4,2026-05-29T21:18:03.972953
TRAIN_LOADING,CP_4401,train,T1,2026-05-29T21:19:44.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T21:20:48.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T4,2026-05-29T21:20:54.972953
CONTAINER_LOAD,CONT_205193,container,T4,2026-05-29T21:21:57.972953
TRAIN_LOADING,MEDWAY_778,train,T1,2026-05-29T21:22:35.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T2,2026-05-29T21:22:37.972953
TRAIN_UNLOADING,CP_4401,train,T4,2026-05-29T21:25:01.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T2,2026-05-29T21:25:29.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T4,2026-05-29T21:26:14.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T21:27:01.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T4,2026-05-29T21:29:04.972953
TRAIN_ARRIVAL,CP_4401,train,T4,2026-05-29T21:29:29.972953
TRAIN_UNLOADING,TAKARGO_991,train,T4,2026-05-29T21:30:54.972953
TRAIN_ARRIVAL,CP_4401,train,T2,2026-05-29T21:30:57.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T21:31:39.972953
CONTAINER_TRANSFER,CONT_665152,container,T2,2026-05-29T21:31:42.972953
CONTAINER_SCAN,CONT_673746,container,T2,2026-05-29T21:31:49.972953
CONTAINER_SCAN,CONT_879218,container,T2,2026-05-29T21:31:55.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T3,2026-05-29T21:32:34.972953
CONTAINER_SCAN,CONT_744218,container,T2,2026-05-29T21:33:19.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T4,2026-05-29T21:33:31.972953
SHIP_DEPARTURE,MSC_ATLAS,ship,T4,2026-05-29T21:33:52.972953
SHIP_DOCKED,POSEIDON_X,ship,T1,2026-05-29T21:35:20.972953
CONTAINER_LOAD,CONT_866637,container,T1,2026-05-29T21:35:32.972953
TRAIN_UNLOADING,TAKARGO_991,train,T1,2026-05-29T21:35:52.972953
TRAIN_UNLOADING,MEDWAY_778,train,T1,2026-05-29T21:36:08.972953
CONTAINER_LOAD,CONT_591450,container,T2,2026-05-29T21:37:30.972953
CONTAINER_UNLOAD,CONT_912208,container,T4,2026-05-29T21:38:49.972953
TRAIN_LOADING,TAKARGO_991,train,T4,2026-05-29T21:39:03.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T4,2026-05-29T21:39:26.972953
CONTAINER_SCAN,CONT_734296,container,T2,2026-05-29T21:39:31.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T4,2026-05-29T21:40:41.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T1,2026-05-29T21:40:55.972953
CONTAINER_LOAD,CONT_460711,container,T2,2026-05-29T21:41:36.972953
CONTAINER_SCAN,CONT_250364,container,T4,2026-05-29T21:42:07.972953
TRAIN_ARRIVAL,TAKARGO_991,train,T3,2026-05-29T21:42:13.972953
TRAIN_DEPARTURE,MEDWAY_778,train,T3,2026-05-29T21:43:41.972953
TRAIN_UNLOADING,CP_4401,train,T2,2026-05-29T21:45:32.972953
TRAIN_LOADING,TAKARGO_991,train,T1,2026-05-29T21:45:36.972953
SHIP_DOCKED,MSC_ATLAS,ship,T3,2026-05-29T21:46:50.972953
CONTAINER_UNLOAD,CONT_631155,container,T4,2026-05-29T21:46:57.972953
TRAIN_UNLOADING,MEDWAY_778,train,T2,2026-05-29T21:47:11.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T4,2026-05-29T21:47:56.972953
CONTAINER_SCAN,CONT_291515,container,T4,2026-05-29T21:48:19.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T1,2026-05-29T21:48:29.972953
TRAIN_UNLOADING,MEDWAY_778,train,T1,2026-05-29T21:49:22.972953
CONTAINER_LOAD,CONT_785547,container,T1,2026-05-29T21:49:35.972953
SHIP_DOCKED,POSEIDON_X,ship,T4,2026-05-29T21:49:55.972953
CONTAINER_SCAN,CONT_597332,container,T1,2026-05-29T21:50:05.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T4,2026-05-29T21:50:37.972953
CONTAINER_SCAN,CONT_215290,container,T4,2026-05-29T21:52:48.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T1,2026-05-29T21:52:52.972953
CONTAINER_UNLOAD,CONT_551421,container,T1,2026-05-29T21:53:01.972953
CONTAINER_UNLOAD,CONT_161891,container,T1,2026-05-29T21:53:12.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T21:54:03.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T4,2026-05-29T21:54:39.972953
SHIP_DEPARTURE,EVER_GLOBE,ship,T2,2026-05-29T21:54:57.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T21:54:58.972953
TRAIN_ARRIVAL,MEDWAY_778,train,T3,2026-05-29T21:55:11.972953
CONTAINER_SCAN,CONT_265582,container,T2,2026-05-29T21:56:38.972953
TRAIN_LOADING,MEDWAY_778,train,T2,2026-05-29T21:57:04.972953
CONTAINER_LOAD,CONT_757200,container,T1,2026-05-29T21:57:22.972953
SHIP_DOCKED,MAERSK_NEXUS,ship,T1,2026-05-29T21:58:07.972953
SHIP_UNDOCKED,POSEIDON_X,ship,T3,2026-05-29T21:58:25.972953
SHIP_UNDOCKED,MSC_ATLAS,ship,T1,2026-05-29T21:59:12.972953
TRAIN_DEPARTURE,TAKARGO_991,train,T2,2026-05-29T21:59:53.972953
TRAIN_LOADING,CP_4401,train,T3,2026-05-29T22:00:11.972953
SHIP_ARRIVAL,MAERSK_NEXUS,ship,T1,2026-05-29T22:01:56.972953
TRAIN_LOADING,CP_4401,train,T3,2026-05-29T22:02:14.972953
CONTAINER_TRANSFER,CONT_652311,container,T3,2026-05-29T22:03:53.972953
SHIP_ARRIVAL,EVER_GLOBE,ship,T2,2026-05-29T22:04:29.972953
TRAIN_UNLOADING,CP_4401,train,T3,2026-05-29T22:04:55.972953
SHIP_ARRIVAL,POSEIDON_X,ship,T4,2026-05-29T22:05:13.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T22:05:29.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T3,2026-05-29T22:07:24.972953
TRAIN_DEPARTURE,CP_4401,train,T4,2026-05-29T22:10:40.972953
SHIP_DEPARTURE,POSEIDON_X,ship,T2,2026-05-29T22:12:19.972953
TRAIN_LOADING,MEDWAY_778,train,T3,2026-05-29T22:13:12.972953
SHIP_UNDOCKED,EVER_GLOBE,ship,T2,2026-05-29T22:13:39.972953
CONTAINER_UNLOAD,CONT_572008,container,T1,2026-05-29T22:13:42.972953
CONTAINER_TRANSFER,CONT_105245,container,T2,2026-05-29T22:14:03.972953
